Frame,cx,cy,w,h
179,0.36036545,0.519165993,0.019745559,0.034254253
180,0.362777472,0.556992352,0.020594984,0.035850763
181,0.366199017,0.589505196,0.018336207,0.036507785
182,0.366243392,0.619477987,0.01796025,0.035254657
183,0.366312444,0.623461425,0.017861545,0.034722567
184,0.365744174,0.604047239,0.017324835,0.034007192
185,0.366042316,0.571522951,0.016446769,0.033954442
186,0.365904272,0.543714523,0.019323319,0.031097591
187,0.370850801,0.505251765,0.019887865,0.03090167
188,0.382355511,0.473981023,0.018791825,0.031703472
189,0.392556727,0.455919564,0.019266933,0.032898277
190,0.404506147,0.446871042,0.019898981,0.03327173
191,0.41461587,0.463620931,0.019569755,0.033130825
192,0.424861073,0.505226016,0.019184321,0.031810403
193,0.4332304,0.547631502,0.016000152,0.028364122
197,0.407731324,0.572382689,0.013284028,0.033274591
201,0.375855833,0.246278763,0.019284666,0.036197945
202,0.382964909,0.177071393,0.019560754,0.035664603
203,0.401268959,0.140320346,0.019276947,0.033870727
204,0.430668205,0.152690232,0.018467665,0.033105537
205,0.434036791,0.266652614,0.020795792,0.037672505
206,0.41203779,0.46441412,0.02144441,0.036384702
207,0.413801014,0.651862741,0.022486538,0.040443599
208,0.426576555,0.645329475,0.024768025,0.041557014
209,0.441445768,0.595949888,0.025880724,0.042297542
210,0.457832098,0.553014219,0.022311628,0.036629915
211,0.473136485,0.515208006,0.023546219,0.039067924
212,0.487690687,0.480136752,0.021978229,0.037876159
213,0.502035499,0.448937088,0.021301299,0.034414768
214,0.516240954,0.425125837,0.022320628,0.036561251
215,0.530375719,0.401478767,0.02140224,0.035455495
216,0.543875337,0.386680573,0.02188915,0.034723997
217,0.557921588,0.375980973,0.020246625,0.032384306
218,0.571226776,0.366754264,0.01982677,0.031263053
219,0.584273815,0.364063621,0.019241512,0.031607091
220,0.715754867,0.356366187,0.020303428,0.033257186
221,0.873515248,0.351600766,0.021490037,0.032133579
379,0.368534148,0.536904812,0.016050786,0.029362142
380,0.368256032,0.539625764,0.017265707,0.031067371
477,0.364734948,0.532366395,0.021139085,0.036484241
478,0.368167281,0.571820259,0.020332932,0.04013586
479,0.370095134,0.607695401,0.019511223,0.036025286
480,0.371058583,0.621488571,0.018768162,0.035615206
481,0.367729425,0.596280515,0.017481029,0.034904361
482,0.366088063,0.565204084,0.018782616,0.03224194
483,0.364652276,0.530406594,0.019838125,0.032608211
484,0.370904773,0.505485058,0.018424988,0.031274527
485,0.379835069,0.476173073,0.017916173,0.029721797
486,0.392172337,0.464308232,0.019626945,0.032737613
487,0.405167282,0.467972636,0.020189941,0.033547014
488,0.418028533,0.493201375,0.020351112,0.033371121
489,0.426166177,0.535281897,0.01948449,0.033147335
490,0.432529926,0.580653489,0.018229872,0.033531666
491,0.43568787,0.61654675,0.017804503,0.033938408
492,0.434086382,0.623352885,0.019173414,0.033341467
493,0.422873259,0.604532957,0.019731373,0.034478545
494,0.409159839,0.55320096,0.017824233,0.032750785
498,0.377153456,0.215218037,0.019563586,0.035576984
499,0.387161016,0.15082559,0.017887324,0.032062426
501,0.429455429,0.205366701,0.020787477,0.038790777
502,0.413805425,0.376635194,0.021834761,0.04252252
503,0.416782677,0.595448732,0.024698168,0.043145061
504,0.433829367,0.647040844,0.023435622,0.040110767
505,0.440359056,0.583247423,0.024648875,0.042436779
506,0.448554456,0.528109193,0.024098814,0.041178703
507,0.456960559,0.482922137,0.021270186,0.036057681
508,0.464281559,0.439240187,0.019925505,0.033357978
509,0.47011748,0.401196778,0.021453619,0.03792879
510,0.4758147,0.373642027,0.021070957,0.037055373
511,0.480454683,0.350648075,0.020791858,0.036238313
512,0.484660149,0.332884073,0.02062732,0.035900593
513,0.488683552,0.317487299,0.020475388,0.035739213
514,0.492830634,0.309189439,0.02028051,0.035433263
515,0.496201515,0.305105567,0.019540459,0.03392294
516,0.4712632,0.377328962,0.018743694,0.035734057
519,0.356321484,0.435380131,0.016582429,0.030163348
520,0.320495188,0.3829602,0.021682531,0.035981774
521,0.288607866,0.338202626,0.022571802,0.03856945
522,0.259797662,0.295908183,0.024493232,0.039784968
523,0.229472756,0.254740357,0.02514638,0.043074057
524,0.198024541,0.218779117,0.023169681,0.041919619
525,0.164960355,0.185618505,0.024214178,0.042507529
526,0.130814821,0.154246628,0.025113411,0.045674309
527,0.095555253,0.127227977,0.025014922,0.043212295
528,0.062813379,0.10316211,0.024867248,0.041841783
529,0.024111954,0.083089709,0.025729563,0.045954905
754,0.365805686,0.528991878,0.01484862,0.026702642
755,0.36718291,0.542617679,0.015985817,0.029097736
756,0.365991831,0.546130776,0.016745031,0.031670272
757,0.364565432,0.561805129,0.015056431,0.030000627
877,0.359890103,0.538840055,0.019626021,0.033236921
878,0.363926888,0.575923264,0.018613905,0.037502766
879,0.364807367,0.608927369,0.01921761,0.035672665
880,0.365782231,0.625411749,0.019686997,0.035996377
881,0.366462022,0.617818475,0.018508255,0.034064293
882,0.366500467,0.582045078,0.018156826,0.035265386
883,0.365208507,0.54621017,0.01944688,0.031756818
884,0.368806362,0.507812321,0.019552827,0.031099916
885,0.380812258,0.470461965,0.018469632,0.031475425
886,0.391652614,0.453593373,0.018784881,0.031292051
887,0.406714559,0.443548441,0.019268781,0.032197803
888,0.418672591,0.458505869,0.020449936,0.032229304
889,0.431054145,0.503847241,0.018784523,0.031329423
890,0.437071323,0.556860805,0.015058607,0.03062886
898,0.380924463,0.240532428,0.019771487,0.036535874
899,0.389138103,0.172283232,0.019483119,0.033921555
901,0.436187476,0.173219442,0.019705951,0.03635706
902,0.427736163,0.314498901,0.020929009,0.039508641
903,0.406514287,0.525465429,0.021453947,0.038618803
904,0.419897079,0.676285684,0.02165702,0.037256956
905,0.433090597,0.627781272,0.026201963,0.044190586
906,0.451732814,0.571498275,0.02440086,0.042027652
907,0.467759192,0.525934577,0.022592813,0.037830651
908,0.485270232,0.481476396,0.021862507,0.038382232
909,0.500645041,0.441327631,0.021345586,0.033636183
910,0.51726079,0.407800674,0.021869004,0.036916941
911,0.532859683,0.379370302,0.021783352,0.036381602
912,0.547206163,0.357411027,0.021177649,0.03528896
913,0.561793208,0.337655574,0.019384205,0.031959534
914,0.577374339,0.320096314,0.019944847,0.032673508
915,0.592284739,0.311015248,0.019752741,0.033403069
916,0.597500205,0.327907294,0.019679129,0.032685578
917,0.602894902,0.3553105,0.020458043,0.033242434
918,0.606949329,0.384027779,0.019684017,0.03204748
919,0.610288501,0.418237984,0.019141018,0.031274766
920,0.614205003,0.459352434,0.019592345,0.029997736
921,0.617286921,0.496687382,0.018477738,0.030229986
922,0.62256664,0.541454971,0.018176436,0.032232523
923,0.629407823,0.51971674,0.019020081,0.032776296
924,0.637689412,0.502271056,0.019574046,0.032283962
925,0.644079804,0.49409005,0.021235764,0.034919322
926,0.652032256,0.484375179,0.02061075,0.03324452
927,0.659852087,0.48109296,0.02009809,0.032314658
928,0.666050792,0.480129421,0.020235479,0.032265753
929,0.675839305,0.481152475,0.020427525,0.031980604
930,0.684074759,0.486455321,0.021101058,0.033073425
931,0.69078517,0.493405581,0.020632207,0.032687992
932,0.697568893,0.50124687,0.020770431,0.033207387
933,0.704066992,0.51087743,0.02001673,0.031907201
934,0.711228311,0.502694726,0.019643784,0.031425178
935,0.717452109,0.499273539,0.020696759,0.03034994
936,0.724243999,0.497400343,0.020531714,0.030665249
937,0.729216158,0.49823761,0.020033836,0.029663473
938,0.73620975,0.50208962,0.019225657,0.029349953
939,0.740346432,0.499840856,0.017217934,0.026389837
940,0.738665581,0.495553255,0.016862214,0.026507825
941,0.73312676,0.484963804,0.016818583,0.026585042
942,0.727598548,0.464726567,0.017244041,0.026261687
943,0.715915978,0.458149195,0.015040159,0.025595248
959,0.650495648,0.188599154,0.017893374,0.028486073
960,0.652748823,0.187289417,0.016515732,0.028943256
961,0.651120663,0.187101379,0.01780051,0.028373659
962,0.650775671,0.187368602,0.017830312,0.028620794
963,0.650533259,0.19457981,0.017633796,0.029730514
964,0.648359418,0.200117126,0.017490566,0.029204279
965,0.64753437,0.204848558,0.017673254,0.029532865
966,0.646346629,0.212409228,0.017420411,0.02867277
967,0.645810604,0.218055636,0.017411172,0.028486922
979,0.652518392,0.227899283,0.017292857,0.028421387
980,0.649590492,0.227939144,0.01739043,0.028499961
981,0.643745542,0.218522429,0.017551422,0.028608143
