Frame,Label,cx,cy,w,h
1,plate,528,331,0.049768299,0.017277569
2,plate,528,331,0.049876124,0.017316639
3,plate,528,331,0.049966633,0.017365485
4,plate,528,331,0.049984962,0.017377675
5,plate,528,331,0.050250918,0.017421782
5,ball,431,333,0.014901668,0.024071336
6,plate,529,331,0.050410837,0.017464727
6,ball,431,332,0.014622629,0.023803979
6,ball,420,326,0.015177876,0.022530645
7,plate,529,331,0.050403148,0.017495781
7,ball,431,332,0.014531076,0.023802787
7,ball,421,327,0.015088618,0.02237016
8,plate,529,331,0.050129384,0.017476469
8,ball,429,334,0.014515877,0.023976833
8,ball,420,329,0.015175521,0.022233516
9,plate,528,331,0.049770236,0.017416716
9,ball,430,335,0.014702499,0.02421394
9,ball,421,329,0.015515864,0.022385627
10,plate,528,331,0.049504519,0.017335236
10,ball,431,334,0.014836252,0.024307787
10,ball,420,330,0.015734315,0.022354126
11,plate,529,331,0.049285024,0.017319053
11,ball,420,331,0.016182005,0.021984905
11,ball,433,334,0.015070915,0.02439189
12,plate,529,331,0.049282491,0.017456561
13,plate,529,331,0.049412996,0.01748696
14,plate,528,332,0.049444288,0.017461598
15,plate,529,332,0.049702197,0.017527252
16,plate,529,332,0.049717456,0.017501175
17,plate,529,333,0.049491554,0.017478198
18,plate,529,333,0.049636185,0.017544806
19,plate,529,333,0.049568146,0.017536193
20,plate,529,333,0.049523413,0.017504364
21,plate,529,333,0.049208254,0.017389804
22,plate,529,333,0.048933595,0.017241836
23,plate,529,333,0.049118072,0.017296165
24,plate,529,333,0.049425751,0.017373234
25,plate,529,333,0.049459577,0.017363518
26,plate,529,333,0.049564421,0.0174326
27,plate,529,333,0.049714029,0.017475635
28,plate,529,333,0.049995691,0.017524391
29,plate,529,333,0.0498631,0.017527908
30,plate,529,333,0.049901843,0.01757735
31,plate,529,332,0.049880117,0.017601579
32,plate,529,332,0.049588233,0.017447323
33,plate,529,332,0.049503893,0.01747191
34,plate,529,332,0.049502909,0.017506897
35,plate,529,332,0.04947862,0.017577469
36,plate,529,332,0.049425602,0.017542124
37,plate,529,332,0.049770504,0.017511755
38,plate,529,332,0.049818486,0.017470449
39,plate,529,331,0.049794883,0.017457485
40,plate,529,331,0.049839884,0.017421037
41,plate,529,331,0.049894989,0.017492443
42,plate,529,331,0.05009529,0.017530352
43,plate,529,331,0.05008018,0.01752907
44,plate,529,331,0.050059319,0.017485917
45,plate,529,331,0.049964875,0.0174402
46,plate,529,331,0.050005198,0.01747334
47,plate,529,331,0.050042778,0.017485917
48,plate,529,331,0.049891025,0.017454237
49,plate,529,331,0.049962223,0.017464459
50,plate,529,331,0.049831331,0.017501891
51,plate,529,331,0.049799979,0.017523885
52,plate,529,331,0.049812168,0.017558843
53,plate,529,332,0.049721867,0.017492622
54,plate,529,332,0.049534917,0.017410517
55,plate,529,332,0.049229801,0.017233044
56,plate,529,332,0.04935807,0.017271459
57,plate,529,332,0.049233437,0.017304063
58,plate,529,332,0.048303008,0.017144352
59,plate,529,332,0.048103362,0.017144144
60,plate,529,332,0.049185246,0.017386764
61,plate,529,333,0.04845944,0.017431796
62,plate,529,333,0.048444539,0.017354012
62,ball,402,303,0.014406115,0.022643983
63,ball,404,327,0.014457375,0.023981273
63,plate,530,333,0.050056934,0.017539114
64,ball,406,341,0.014654815,0.024631709
64,plate,530,334,0.050043076,0.017413586
65,ball,407,345,0.014638484,0.024364769
65,plate,530,333,0.050117165,0.017528892
66,ball,408,342,0.014758825,0.023762554
66,plate,530,333,0.050284892,0.017542005
67,plate,529,332,0.050203294,0.01756984
67,ball,418,337,0.015410304,0.023338646
